preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
Schematic Design,0.86,Technical Specifications,Compile technical specifications for the construction phase.,Elevation Drawing,Neutral,2025-04-14,1
Zoning & Building Code Compliance,0.83,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Landscape Plan,Neutral,2025-05-06,7
Interior Layout Plan,0.63,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Schematic Design,High,2025-05-09,8
Technical Specification,0.65,Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,Neutral,2025-04-24,4
Landscape Plan,0.74,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Site Plan,Low,2025-05-06,7
Custom Millwork & Joinery Drawing,0.91,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Door & Window Schedule,High,2025-04-26,5
Elevation Drawing,0.8,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Partition Plan,High,2025-05-05,7
Virtual Reality,0.8,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Design Development,Low,2025-05-09,8
Virtual Reality,0.98,Structural Coordination,Coordinate with the structural engineer for beam placements.,Lighting & Fixture Plan,Neutral,2025-05-09,10
Hardscape Plan,0.72,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Others,High,2025-04-24,2
Door & Window Schedule,0.91,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Lighting & Fixture Plan,Neutral,2025-05-08,8
Others,0.66,Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,Neutral,2025-05-09,5
Permit Drawing,0.88,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Neutral,2025-04-24,0
Virtual Reality,0.96,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,Neutral,2025-04-17,2
Material Board,0.78,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Lighting & Fixture Plan,High,2025-05-02,7
3D Model,0.7,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Others,Neutral,2025-04-14,10
3D Render,0.98,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Roof Plan,Low,2025-05-04,5
Custom Millwork & Joinery Drawing,0.67,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Model,Low,2025-04-23,10
Partition Plan,0.64,Structural Coordination,Coordinate with the structural engineer for beam placements.,Finish Schedule,Neutral,2025-05-10,8
Material Board,0.63,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Virtual Reality,Low,2025-04-24,1
Material Board,0.83,Technical Specifications,Compile technical specifications for the construction phase.,Virtual Reality,Neutral,2025-04-12,6
Elevation Drawing,0.83,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Roof Plan,Low,2025-04-26,2
Others,0.67,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Reflected Ceiling Plan,Neutral,2025-04-24,3
3D Render,0.75,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Others,High,2025-04-23,10
Site Plan,0.98,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,Low,2025-04-26,6
Hardscape Plan,0.76,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Virtual Reality,Neutral,2025-05-07,0
Landscape Plan,0.67,Technical Specifications,Compile technical specifications for the construction phase.,Interior Layout Plan,Low,2025-05-10,7
Design Development,0.65,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Conceptual Design,Low,2025-04-30,6
Construction Document,0.61,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Interior Layout Plan,High,2025-05-05,2
Design Development,0.82,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Conceptual Design,High,2025-05-03,3
Elevation Drawing,0.69,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Landscape Plan,High,2025-04-26,10
Schematic Design,0.78,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Hardscape Plan,Neutral,2025-05-02,6
Schematic Design,0.99,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Zoning & Building Code Compliance,Neutral,2025-04-25,9
Others,0.85,Construction Documentation,Compile detailed construction drawings for city permit approval.,Hardscape Plan,Neutral,2025-05-03,3
Hardscape Plan,0.89,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Schematic Design,Neutral,2025-04-24,7
Design Development,0.91,Technical Specifications,Compile technical specifications for the construction phase.,3D Render,High,2025-05-02,7
3D Model,0.79,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Landscape Plan,Low,2025-05-08,0
Floor Plan,0.83,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,General Specification,Low,2025-04-19,4
Conceptual Design,0.66,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Reflected Ceiling Plan,High,2025-04-21,1
Door & Window Schedule,0.83,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Low,2025-05-08,6
3D Model,0.99,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Section Drawing,Low,2025-04-12,2
Zoning & Building Code Compliance,0.75,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Construction Document,High,2025-05-09,2
Door & Window Schedule,0.95,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Model,Neutral,2025-04-16,9
Conceptual Design,0.76,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Conceptual Design,High,2025-04-22,3
Zoning & Building Code Compliance,0.67,Technical Specifications,Compile technical specifications for the construction phase.,Technical Specification,Neutral,2025-05-05,4
Floor Plan,0.84,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Zoning & Building Code Compliance,Low,2025-04-21,1
Others,0.74,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Finish Schedule,Low,2025-05-03,8
Finish Schedule,0.83,Structural Coordination,Coordinate with the structural engineer for beam placements.,Partition Plan,High,2025-04-19,8
Section Drawing,0.81,Structural Coordination,Coordinate with the structural engineer for beam placements.,Elevation Drawing,High,2025-04-12,1
Hardscape Plan,0.93,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Elevation Drawing,Neutral,2025-04-11,2
Permit Drawing,0.68,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Construction Document,Neutral,2025-05-09,6
Furniture Layout Plan,0.67,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,Low,2025-04-14,1
Lighting & Fixture Plan,0.98,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Custom Millwork & Joinery Drawing,Neutral,2025-04-25,7
Section Drawing,0.96,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Interior Layout Plan,Neutral,2025-05-07,1
Zoning & Building Code Compliance,0.85,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Reflected Ceiling Plan,Neutral,2025-04-12,8
Construction Document,0.98,Structural Coordination,Coordinate with the structural engineer for beam placements.,Material Board,Neutral,2025-04-27,1
Lighting & Fixture Plan,0.82,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Site Plan,Neutral,2025-04-23,4
Roof Plan,0.91,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,High,2025-04-11,2
Custom Millwork & Joinery Drawing,0.93,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Reflected Ceiling Plan,Low,2025-04-24,4
Furniture Layout Plan,0.7,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Zoning & Building Code Compliance,Low,2025-05-09,5
Zoning & Building Code Compliance,0.87,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,High,2025-04-26,2
Interior Layout Plan,0.69,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Lighting & Fixture Plan,High,2025-04-18,4
Material Board,0.8,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Roof Plan,High,2025-04-18,9
Reflected Ceiling Plan,0.8,Technical Specifications,Compile technical specifications for the construction phase.,Section Drawing,High,2025-04-15,1
Custom Millwork & Joinery Drawing,0.8,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Reflected Ceiling Plan,Neutral,2025-04-22,0
Zoning & Building Code Compliance,0.88,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Partition Plan,Low,2025-05-08,7
Elevation Drawing,0.96,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,Neutral,2025-04-16,4
Construction Document,0.7,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Others,High,2025-04-11,4
Section Drawing,0.77,Technical Specifications,Compile technical specifications for the construction phase.,Landscape Plan,High,2025-05-06,8
Material Board,0.8,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Technical Specification,Low,2025-05-07,10
Elevation Drawing,0.65,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Roof Plan,Low,2025-04-19,6
Roof Plan,0.8,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Finish Schedule,High,2025-04-19,10
Others,0.81,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Model,Low,2025-04-14,0
Floor Plan,0.83,Construction Documentation,Compile detailed construction drawings for city permit approval.,Virtual Reality,Low,2025-05-10,5
Section Drawing,0.73,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,Neutral,2025-05-03,1
Construction Document,0.89,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Model,Low,2025-05-05,7
Design Development,0.73,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Finish Schedule,High,2025-04-21,9
3D Model,0.96,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Landscape Plan,Neutral,2025-04-22,7
Lighting & Fixture Plan,0.97,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Roof Plan,High,2025-05-04,4
Door & Window Schedule,0.87,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Permit Drawing,Low,2025-05-08,8
Virtual Reality,0.82,Structural Coordination,Coordinate with the structural engineer for beam placements.,Virtual Reality,Neutral,2025-05-03,5
